image_id,greenery_ratio,brightness,sky_ratio,visual_complexity,building_regularity,image_filename,luminance,target_score,cluster,score_cluster
57,0.02944091796875,0.4907067631740196,0.2230224609375,0.14802490234375,0.131621187800963,057.jpg,0.3568646120557598,0.17096507369845762,3,75
58,0.1871630859375,0.5827371036305147,0.53358154296875,0.10029541015625,0.2857142857142857,058.jpg,0.5581593232996324,0.2896166171546744,3,75
59,0.098623046875,0.5767904411764706,0.36337890625,0.07467529296875,0.3005952380952381,059.jpg,0.4700846737132353,0.2123586230195203,3,75
60,0.19703125,0.536557310814951,0.10843505859375,0.0750634765625,0.1259445843828715,060.jpg,0.3224961847043505,0.21022921075595305,0,80
61,0.02258544921875,0.6187792873008578,0.504156494140625,0.0685205078125,0.3736654804270463,061.jpg,0.5614678907207414,0.209958889495592,2,45
62,0.04685791015625,0.5644498123468138,0.62703857421875,0.11231201171875,0.0980810234541577,062.jpg,0.5957441932827818,0.269695141373947,3,75
63,0.13037353515625,0.5774736232383578,0.01043701171875,0.09798828125,0.1605691056910569,063.jpg,0.2939553174785539,0.1732722867348159,3,75
64,0.11131591796875,0.543097043504902,0.003240966796875,0.0961328125,0.1943887775551102,064.jpg,0.2731690051508885,0.15358165399234436,2,45
65,0.0027001953125,0.5354040000765932,0.248321533203125,0.06872314453125,0.2453531598513011,065.jpg,0.3918627666398591,0.14703449770206353,3,75
66,0.03014892578125,0.4619087297028186,0.00274658203125,0.12802978515625,0.1285475792988314,066.jpg,0.2323276558670343,0.1177418317606806,2,45
67,0.17597900390625,0.2677438821231617,0.00848388671875,0.1906591796875,0.1389261744966443,067.jpg,0.13811388442095585,0.1498763738187179,3,75
68,0.04983154296875,0.5820833237591911,0.165496826171875,0.09439453125,0.3947368421052631,068.jpg,0.37379007496553307,0.14885386921318694,2,45
69,0.03575439453125,0.6235110868566176,0.3648193359375,0.12695556640625,0.2243478260869565,069.jpg,0.4941652113970588,0.2149241730438779,3,75
70,0.137861328125,0.4881471832873774,0.160955810546875,0.21411376953125,0.1524390243902439,070.jpg,0.3245514969171262,0.2125439814840761,1,60
71,0.080224609375,0.4283132755055147,0.281976318359375,0.12515869140625,0.3570412517780938,071.jpg,0.35514479693244483,0.16347537562641856,3,75
72,0.19703125,0.536557310814951,0.10843505859375,0.0750634765625,0.1259445843828715,072.jpg,0.3224961847043505,0.21022921075595305,3,75
73,0.03014892578125,0.4619087297028186,0.00274658203125,0.12802978515625,0.1285475792988314,073.jpg,0.2323276558670343,0.1177418317606806,3,75
74,0.0229443359375,0.6350007850796568,0.53118896484375,0.079921875,0.1107954545454545,074.jpg,0.5830948749617034,0.2473205139051359,0,80
75,0.04685791015625,0.5644498123468138,0.62703857421875,0.11231201171875,0.0980810234541577,075.jpg,0.5957441932827818,0.269695141373947,3,75
76,0.01845947265625,0.5319945906096814,0.44415283203125,0.0929736328125,0.2612419700214132,076.jpg,0.4880737113204657,0.19508380315104495,3,75
77,0.43279296875,0.3709102902879902,0.012078857421875,0.24670654296875,0.1426481346013167,077.jpg,0.1914945738549326,0.2847915121755914,1,60
78,0.01227294921875,0.6069082988664215,0.350299072265625,0.05700439453125,0.4017857142857143,078.jpg,0.4786036855660233,0.16757296139158787,3,75
